logFC	AveExpr	t	P.Value	adj.P.Val	B
RAB31	1.03312158486614	12.9675042462044	8.84674147316409	3.69778496391935e-15	1.00844829867065e-12	23.9803252333651
KIF1B	1.58708598186063	10.175070605854	8.84371164437893	3.7625068064819e-15	1.00844829867065e-12	23.9634250948608
TXK	-1.71007770356142	6.51992776037956	-8.78807742444491	5.17284848144055e-15	1.25748337619763e-12	23.6533761388838
TRAF5	-1.30398758333228	6.25165834469343	-8.78195601712727	5.35707560843187e-15	1.27267071215769e-12	23.6192936918422
SH2D1B	-1.3560610848748	6.64878968036496	-8.71051890645298	8.05531185735239e-15	1.87115944099788e-12	23.2220305062986
MRPS21	-1.12601065598031	8.71856262135037	-8.69567429259218	8.76690906571336e-15	1.94513202623435e-12	23.1395920516722
TRBC2	-1.32479898131928	6.85534317540146	-8.69240159892565	8.93201351375191e-15	1.94513202623435e-12	23.1214226846439
UBE2J1	1.28908896970236	10.6527105037226	8.63434150005083	1.2432605086452e-14	2.59916041937366e-12	22.799405846467
PABPC3	-1.01668913762598	7.27789492083212	-8.58913839713941	1.60763925980603e-14	3.2950300358338e-12	22.5491260342978
ADM	1.43096911062204	12.8869659135766	8.53598491830403	2.17388645095816e-14	4.20808056886402e-12	22.2553184596879
RPS6	-1.16170554784252	12.5886470355474	-8.52629412060267	2.29669974668057e-14	4.36498226400945e-12	22.201810487705
FCRL3	-1.20342300736089	6.46599193323358	-8.50351679362051	2.61319332262113e-14	4.79222978971206e-12	22.0761165469549
RPL23	-1.36274049851968	11.6458418568613	-8.49831592923561	2.69133401344407e-14	4.85043352457428e-12	22.0474303725094
PAFAH2	-1.03592842729133	7.11222950237956	-8.45542352757304	3.43092954527633e-14	5.87926336668417e-12	21.8110536836053
TRMT10C	-1.10431746158661	6.66082961689781	-8.44152740965187	3.71141580992657e-14	6.25732733244556e-12	21.7345516313947
RPS29P9	-1.25221598133701	6.88048249743796	-8.37889673562812	5.28625695833519e-14	8.6339443727309e-12	21.3902364692914
RRAGD	1.198808506137	10.7383946284161	8.37209264958528	5.49307269600095e-14	8.69986195322696e-12	21.3528790015868
PYHIN1	-1.65971673865407	7.28833336341363	-8.30406306211899	8.05807273233518e-14	1.1698754759875e-11	20.9798973157359
ZNF91	-1.46773805856929	8.40368746918978	-8.27025300504928	9.74500831628413e-14	1.39540509493312e-11	20.7948937542224
JAK2	1.34721410083464	8.61264817315329	8.25594052911812	1.05607803581149e-13	1.47189116111167e-11	20.7166522004888
GOLGA8CP	-1.0859126733252	6.56843171035766	-8.22031510473574	1.28978607262721e-13	1.71882180669092e-11	20.5220936590641
NACAP1	-1.51095285273622	7.79556562916058	-8.21904246429777	1.29902346435074e-13	1.71882180669092e-11	20.5151486327031
DNAJC30	-1.09113838739764	6.33888574786861	-8.17890762072636	1.62659817258814e-13	2.12535383725798e-11	20.2963099098951
DRAM1	1.44795956336142	8.97663429058394	8.1241625982967	2.20925807822603e-13	2.78233430020442e-11	19.9983915538692
PABPC1	-1.26860799591338	11.1993747788759	-8.0965523149125	2.57748518484404e-13	3.13016845202596e-11	19.8483982118939
PLCH2	-1.08828713495433	6.47547508679562	-8.07227876997017	2.95115948178509e-13	3.50550796171586e-11	19.7166777133748
GPAT3	1.55990477842913	10.7260314692701	8.05954668143016	3.16817705104393e-13	3.67966163495135e-11	19.6476420546994
INTS6	1.06849003478741	9.79157031244526	7.97365508157167	5.10825493993252e-13	5.80397705294724e-11	19.1829289187892
SPON2	-1.23482741675039	5.22567589223358	-7.95688019731559	5.60663407838e-13	6.21570463343693e-11	19.0923768083409
PDZD4	-1.00521700574095	6.24251126162774	-7.95085281301391	5.79724734066765e-13	6.21570463343693e-11	19.0598573403218
MYBPC3	1.5338255247378	8.97877657513869	7.9499171305141	5.82740891683554e-13	6.21570463343693e-11	19.0548098642432
FLOT1	1.51177553456063	11.0813470537956	7.92959160581644	6.52241520626896e-13	6.75037684664648e-11	18.9452184119946
ALPL	1.81204614923621	13.7332784779562	7.92564610475611	6.66656398923307e-13	6.83192091955424e-11	18.9239568347862
RPL15P3	-1.10857465538976	11.7967560616679	-7.8792434199846	8.61849766195348e-13	8.57991962479997e-11	18.6741926093676
HK3	1.83761039361497	11.5541540847956	7.87402094048885	8.87093639717034e-13	8.74791492071902e-11	18.6461162674353
PJA1	-1.0138800536937	5.88896142494161	-7.84458857986907	1.04369672873284e-12	1.010163139393e-10	18.4880156486374
PTEN	1.00651555586771	11.7169887900182	7.83820079342707	1.0811488168003e-12	1.03681179651501e-10	18.4537318142024
RPL4P5	-1.34843116211023	10.7608151901606	-7.83552996833085	1.09720043787002e-12	1.04263965245957e-10	18.4394003518185
KLHL3	-1.47570370388346	6.00480962954015	-7.81926760214585	1.20016529233906e-12	1.12011855364466e-10	18.3521772033893
RPL7A	-1.1390773318189	11.1954381949708	-7.81147617682529	1.25283670648311e-12	1.15892938874937e-10	18.3104120925932
PCNX1	1.27437551592756	11.2463192288759	7.79774794748714	1.35127849406286e-12	1.23902755249465e-10	18.2368616588898
NELL2	-1.50394032611811	7.5737092090219	-7.75025407537317	1.75481683986864e-12	1.58130176096094e-10	17.9827883283363
CPD	1.28630371033779	10.5290955248613	7.738914038793	1.86763279641821e-12	1.66857825820167e-10	17.9222116436403
IRAK3	2.04605395462442	10.6906454357372	7.70293054210418	2.27540706545146e-12	1.92556655469339e-10	17.7302207385173
UPP1	1.02745891812481	8.80178121025182	7.7022250150176	2.28422704278179e-12	1.92556655469339e-10	17.7264598547996
PDGFRB	-1.22111675574252	5.50866987506569	-7.69164497860812	2.4206281860628e-12	2.00816082769162e-10	17.6700780187583
RSBN1	1.12779108210079	9.49826938975912	7.66805317722122	2.75453778830456e-12	2.26717980323996e-10	17.5444647889662
CD40LG	-1.31442176717244	6.17873022721168	-7.65647872924133	2.93466614457385e-12	2.37798955110314e-10	17.4828927853076
CTSA	1.20029806078819	10.2514543043504	7.64582507142994	3.11075900935358e-12	2.50128953267485e-10	17.426251531243
PRKCQ-AS1	-1.09236976450552	7.16638422590146	-7.63779539539793	3.25036420695136e-12	2.59359214162309e-10	17.3835815874261
SORBS3	-1.08577328610394	5.7976251300292	-7.61764387182897	3.62866166789961e-12	2.83062689660855e-10	17.2765742903603
TBC1D31	-1.1053101527874	6.85883996740876	-7.6099153806608	3.78504920671739e-12	2.90919995278065e-10	17.2355648830953
RPL37P6	-1.02935315860551	7.34996500814599	-7.57998606681527	4.45625649704594e-12	3.35116900457707e-10	17.0769096564811
PGAP3	-1.02700715954252	7.12010474440146	-7.57369893462277	4.61158272710629e-12	3.44320530331729e-10	17.0436135864295
GZMM	-1.24646721689449	7.18436731143796	-7.57128160567123	4.67272112289367e-12	3.45145893984453e-10	17.0308146071842
TSEN54	-1.10182311928189	6.09227168432117	-7.5706559765584	4.68867472934012e-12	3.45145893984453e-10	17.0275023713822
ANXA3	2.22696182319685	11.0726535072993	7.54390326568616	5.42379353308113e-12	3.96467928680399e-10	16.8859707835724
ARL4C	-1.38499869025354	6.26864750825547	-7.53687376803746	5.63519659033622e-12	4.062393790261e-10	16.8488160046664
FAM230C	-1.00382224239213	8.60235807253285	-7.51695175675942	6.27969584845793e-12	4.43524734486018e-10	16.7435941325743
C16orf72	1.17671139555197	10.4241576905109	7.49034064645933	7.25576615593382e-12	5.02281613430306e-10	16.603221139763
PAN3	1.0660539211441	10.1485030974161	7.47512469571452	7.87990222408307e-12	5.38356980054512e-10	16.5230498211494
TRMT11	-1.23312950042677	6.31622918875912	-7.47244351784441	7.99526266127261e-12	5.42691432456381e-10	16.5089299720568
RPL23AP97	-1.22965534211024	11.4499512992774	-7.44929751729176	9.06326827387527e-12	6.07297072223194e-10	16.387124242031
HIST2H2AC	1.46840595462834	11.3216675368321	7.4311949290002	9.99598071912924e-12	6.57157147528667e-10	16.291969584681
EEF1A1P27	-1.53365813747244	11.8380364429781	-7.39939542861634	1.18700729447789e-11	7.56572393242524e-10	16.1250543574085
DYSF	1.64230677821733	12.2853582942482	7.37961260094006	1.32073447864717e-11	8.31664909957762e-10	16.0213675195953
IL2RB	-2.10058621367244	8.48438342637956	-7.25475126959925	2.58384045271047e-11	1.51735304787542e-09	15.3697005120784
GIMAP7	-1.57023900774842	8.87128198286861	-7.23050589677553	2.94185078025709e-11	1.68039159595778e-09	15.2437245438491
HLA-DQA1	-2.44650873715354	8.38348256843066	-7.22145331340729	3.08774817628735e-11	1.75414302645281e-09	15.1967362704086
RPL13P12	-1.16617598732441	6.91338533111679	-7.21232336185592	3.24213862784629e-11	1.83189595010147e-09	15.1493728771567
FCER1A	-3.29029849911024	8.00483334354744	-7.19666745617387	3.52485400517143e-11	1.95985632532218e-09	15.0682169307235
UCKL1	-1.01528738688347	8.36407710910219	-7.19052363992769	3.64234377158084e-11	2.01446663726638e-09	15.0363905688123
IL18RAP	1.98760390147245	12.6010284237226	7.18874011064899	3.67717024520478e-11	2.02302424069082e-09	15.0271537587469
PGD	1.45158982902363	12.3915915590511	7.18118153645913	3.82845633108503e-11	2.08443798052156e-09	14.9880196636534
SLC38A2	1.1726352578189	10.4754940653796	7.18117050112048	3.82868164412264e-11	2.08443798052156e-09	14.9879625422896
RPL13A	-1.18847784147244	11.5020395189343	-7.16718436571931	4.12504323546392e-11	2.19995290511757e-09	14.9155988763662
DCTD	-1.12948426148267	7.01975985859489	-7.16175586666842	4.24608597072103e-11	2.24163316423974e-09	14.887529144583
ABCA1	2.10741935186221	10.6422686812993	7.15753279899829	4.34267347349115e-11	2.28110380997e-09	14.8656990946452
HLA-DPA1	-2.38130888959054	10.1617639205328	-7.15162359478746	4.48148202473532e-11	2.34224658022791e-09	14.8351627508575
ATP8B4	1.80646118776535	9.70399512930657	7.1486999956446	4.55177126804949e-11	2.36714751566773e-09	14.8200590009203
ADGRG1	-2.460050512337	8.29113016839051	-7.11373533104238	5.4817599095801e-11	2.79516274804101e-09	14.6396433942528
CTSO	-1.30295168583307	6.8878632770365	-7.09431814909876	6.07692951820615e-11	3.02486401208614e-09	14.5396259855446
PDZD8	1.03445400467717	8.28566452909489	7.08462918530112	6.39736722478612e-11	3.16927391472461e-09	14.4897652004575
GYG1	2.1154402397693	12.2654339293358	7.08291886720335	6.45564102200083e-11	3.18305733976296e-09	14.4809669080022
RNASE2	1.79737660324725	11.8706329495474	7.07526168175527	6.72303490009533e-11	3.27292448270475e-09	14.4415884555726
DACH1	1.7916576063748	8.35136057610219	7.07158240832534	6.85538268656859e-11	3.31756088993988e-09	14.4226741024795
FAM102A	-1.24559397802204	6.05783599484672	-7.05922033490246	7.31920509657584e-11	3.5256981969819e-09	14.3591565735717
SLC9A1	1.04388766605669	9.98019855345255	7.05001317857543	7.68468166502602e-11	3.68476960754665e-09	14.3118826827261
CARD11	-1.07674862248031	7.72090213648175	-7.01484898463936	9.2541574290445e-11	4.2992758935912e-09	14.1315968589748
PADI4	1.24640462131497	12.7634070908029	7.0081247695303	9.58849654256975e-11	4.43489178581777e-09	14.097169873463
HLA-DOA	-1.19032320216614	6.67185488540146	-6.98022057830545	1.11082162674235e-10	4.96214464287938e-09	13.9544700011913
SH3GLB1	1.36129110569291	11.8055640524088	6.97629143334065	1.13404958570515e-10	5.00454071059514e-09	13.9343981623654
CA4	2.05778668508898	10.7740904815182	6.96511185369491	1.2027973415256e-10	5.23868358790295e-09	13.8773170153303
CRIP2	-1.33103606853937	5.73762881837226	-6.9420249056352	1.35806148965251e-10	5.81795768497447e-09	13.7595759258693
MAN1C1	-1.17571551925591	5.89885589428467	-6.94018493076893	1.37125518695797e-10	5.85050223235578e-09	13.7502002240362
