logFC	AveExpr	t	P.Value	adj.P.Val	B
UCKL1	-1.01528738688347	8.36407710910219	-7.19052363992769	3.64234377158084e-11	2.01446663726638e-09	15.0363905688123
RPL13A	-1.18847784147244	11.5020395189343	-7.16718436571931	4.12504323546392e-11	2.19995290511757e-09	14.9155988763662
DCTD	-1.12948426148267	7.01975985859489	-7.16175586666842	4.24608597072103e-11	2.24163316423974e-09	14.887529144583
HLA-DPA1	-2.38130888959054	10.1617639205328	-7.15162359478746	4.48148202473532e-11	2.34224658022791e-09	14.8351627508575
ADGRG1	-2.460050512337	8.29113016839051	-7.11373533104238	5.4817599095801e-11	2.79516274804101e-09	14.6396433942528
CTSO	-1.30295168583307	6.8878632770365	-7.09431814909876	6.07692951820615e-11	3.02486401208614e-09	14.5396259855446
FAM102A	-1.24559397802204	6.05783599484672	-7.05922033490246	7.31920509657584e-11	3.5256981969819e-09	14.3591565735717
CARD11	-1.07674862248031	7.72090213648175	-7.01484898463936	9.2541574290445e-11	4.2992758935912e-09	14.1315968589748
HLA-DOA	-1.19032320216614	6.67185488540146	-6.98022057830545	1.11082162674235e-10	4.96214464287938e-09	13.9544700011913
CRIP2	-1.33103606853937	5.73762881837226	-6.9420249056352	1.35806148965251e-10	5.81795768497447e-09	13.7595759258693
MAN1C1	-1.17571551925591	5.89885589428467	-6.94018493076893	1.37125518695797e-10	5.85050223235578e-09	13.7502002240362
RPL12	-1.12171827735433	12.2545472911679	-6.91615413589985	1.55564701762481e-10	6.5305936848322e-09	13.6278586371883
EID2	-1.14995154663228	6.33412638336496	-6.90107743798153	1.68361925320955e-10	6.90151845247035e-09	13.551206251163
GNLY	-2.23406259725117	8.6031469780219	-6.87640263514366	1.91584566775353e-10	7.70243644808757e-09	13.4259290126242
FNBP4	-1.05044754277007	9.20554151575183	-6.86390805923237	2.04522693288983e-10	8.159830965457e-09	13.3625749787308
RPL12P38	-1.03424026345669	10.2991455165766	-6.85274139625514	2.16813484492021e-10	8.61730552621711e-09	13.3060013745546
RPSAP39	-1.53297452696063	11.5907109629124	-6.84304600752777	2.28074364034884e-10	8.92906864141067e-09	13.2569179489051
PLEKHF1	-1.2135376962748	7.27419963731387	-6.82712824042574	2.47827087653881e-10	9.59457980461489e-09	13.1764067833659
ABI3	-1.36601718200393	7.31919756085401	-6.76372181302541	3.44709786977889e-10	1.2247400769113e-08	12.8566142369993
KLRD1	-1.98395944945315	7.79979819905109	-6.76320239331731	3.45640794689403e-10	1.2247400769113e-08	12.8540006056562
NSMF	-1.35706193225984	7.08979730323358	-6.74402725883341	3.81802599713079e-10	1.33925589758417e-08	12.7575843357737
GPR68	-1.53089196025748	5.42415241754744	-6.73616476921256	3.9768714534768e-10	1.3856745767731e-08	12.7180895873718
CLIC3	-1.92510060708898	6.76280394329927	-6.70540179990141	4.66350401931634e-10	1.58871727660892e-08	12.5637827727979
FGFBP2	-2.60383230989528	7.92793498375182	-6.7052986477829	4.6659925755184e-10	1.58871727660892e-08	12.5632659578672
MS4A2	-1.12872010459606	6.17199673530657	-6.70155509405756	4.75719804558825e-10	1.60928774014673e-08	12.5445126273747
LY9	-1.05150306184409	6.42208246156569	-6.695764498018	4.90175116470029e-10	1.64224374758372e-08	12.5155150073683
S1PR5	-2.20254822961339	7.05481177285401	-6.68813905483858	5.09873536614954e-10	1.70278213362176e-08	12.4773482517861
DNAAF2	-1.01097640529213	6.10650932420438	-6.63257867119227	6.7898205677899e-10	2.18381521215716e-08	12.1999231886648
PPP3CC	-1.27698227287795	7.59666778950365	-6.59654610109821	8.17085191859415e-10	2.5419617590793e-08	12.0206360106615
ACKR3	-1.16278029910236	6.03944839428467	-6.5848245469301	8.67719393505188e-10	2.67559611218576e-08	11.9624212567433
CD247	-1.96071922187401	10.1761737715036	-6.5707950354945	9.32401941267229e-10	2.82890581596276e-08	11.8928143294082
TGFBR3	-1.74329311959842	7.95340201836496	-6.56174257512171	9.76636752406543e-10	2.94201267230709e-08	11.8479416211877
MRPS35	-1.15573609257008	7.11261943035766	-6.55508106664398	1.01050301236129e-09	3.01793942520358e-08	11.8149412488777
UBASH3A	-1.64221706598111	6.34881425164964	-6.54917595124421	1.04148984997108e-09	3.08404912230812e-08	11.7857025101973
MOCS2	-1.2066620541315	5.78199850116788	-6.4678107196782	1.57691121555744e-09	4.40734035727858e-08	11.3842332427652
HLA-DRA	-1.68273496154724	11.9528513319088	-6.44080162964198	1.80868443524541e-09	4.94010040403109e-08	11.2515513994625
CCDC102A	-1.17396191518503	6.17002693105839	-6.44077176579901	1.808958414448e-09	4.94010040403109e-08	11.2514048568437
HOPX	-1.07931134134645	7.17336352488686	-6.40234538123694	2.19758318641157e-09	5.88207349923529e-08	11.063146090654
FCMR	-1.6751491847874	9.06232702333577	-6.38146448900595	2.4421115011705e-09	6.39784248665043e-08	10.9610995082888
ENOSF1	-1.13728826258189	6.60714258591241	-6.38064391346762	2.45224913567969e-09	6.40834005381494e-08	10.957092951979
APEX1	-1.12748384720512	8.88951982848175	-6.37993507468751	2.46103968138117e-09	6.41498766704929e-08	10.9536321868822
CD74	-1.46852256735669	9.95559516048418	-6.37329676413012	2.54488364325349e-09	6.58457146607147e-08	10.9212320065326
FYN	-1.075467288275	7.83483051916788	-6.37124858434306	2.57131584370008e-09	6.62018830398941e-08	10.9112389491602
PRF1	-1.8302939464252	9.21650161585401	-6.35535077561763	2.78587906066808e-09	6.98340379404398e-08	10.8337326520906
FAM84B	-1.08751419618346	5.9988006959781	-6.32733741491151	3.20765652827109e-09	7.88932557412181e-08	10.6974151879376
HNRNPA1P58	-1.40147531695276	10.558789747438	-6.32159661716307	3.30155022416647e-09	8.08222587663048e-08	10.6695199986825
HLA-DPB1	-1.45131613053228	6.32689291524817	-6.31521428302151	3.40911303700123e-09	8.28441610842102e-08	10.6385237207451
SH3YL1	-1.0075277255811	6.37912491756934	-6.26743510636112	4.3315809548245e-09	1.00841905836928e-07	10.4070257614858
ACP1	-1.28722799500158	7.93648951840876	-6.25686285161887	4.56672847047216e-09	1.05377511483103e-07	10.3559321856697
SLAMF6	-1.1509718334622	8.19315620972628	-6.24041202099131	4.95781306766031e-09	1.1364916665845e-07	10.2765234955004
C6orf48	-1.08830571737007	10.5830347741606	-6.2278895600578	5.27741424690591e-09	1.19146460308655e-07	10.2161548699753
RUNX3	-1.51814813173228	9.53521556151095	-6.22338530726502	5.39725769322391e-09	1.202932508897e-07	10.1944571176438
CD2	-1.70560851911024	9.28245026208759	-6.21239398579378	5.70104728295757e-09	1.25459046839485e-07	10.1415467295824
RSAD1	-1.04420509747244	6.11198064470803	-6.19141323661479	6.32833077679616e-09	1.36391838370825e-07	10.0406938402175
OLFM1	-1.55319480762441	5.3409184730438	-6.15331393942779	7.64553714421824e-09	1.59837599537026e-07	9.85804281324866
RPL22	-1.33840938182677	9.55833248163504	-6.09357273204651	1.0271549633424e-08	2.0529351494872e-07	9.57292338997473
BIN1	-1.15135899682441	8.6715032144635	-6.08604735293943	1.06596117803899e-08	2.12237946553174e-07	9.53712025403643
HNRNPA1P12	-1.48732731196063	10.3712016579088	-6.07781037174496	1.11008852027639e-08	2.19352652220211e-07	9.49796056084757
CACNA2D3	-1.95840408891575	5.77251444755474	-6.04154894396015	1.32665379129843e-08	2.54449762943899e-07	9.32593100563002
BCL11B	-1.87439163788425	8.07027896789051	-6.02051273445486	1.47077298596748e-08	2.77508845168195e-07	9.22640414024368
RPL18AP16	-1.15291675120472	10.9011830701825	-6.01837594911114	1.48624485087556e-08	2.79419378169105e-07	9.21630577863114
CYP4F22	-1.11733493199842	5.15346911170803	-6.01453045861184	1.51449251664676e-08	2.83201972746129e-07	9.19813737624836
MXD4	-1.01771359929764	9.22080957128467	-5.9915346727616	1.69474699057174e-08	3.11887153036028e-07	9.08963220840298
SPOCK2	-1.59556386766141	9.93135446422628	-5.95995486295271	1.97700638028398e-08	3.54652189854549e-07	8.94101839440317
