Probe	ProbeID	gennames	biotype_gene
310	ILMN_1652777	6180253	CDC42EP2	protein_coding
311	ILMN_1652780	830400	TMOD2	protein_coding
312	ILMN_1652784	4390762	CDHR5	protein_coding
313	ILMN_1652786	3940093	NA	processed_pseudogene
314	ILMN_1652787	5220189	PIK3AP1	protein_coding
315	ILMN_1652790	1690121	CLK1	protein_coding
316	ILMN_1652797	3800465	NA	NA
317	ILMN_1652806	650259	NA	NA
318	ILMN_1652807	2750026	NA	NA
319	ILMN_1652808	3190632	NA	NA
320	ILMN_1652819	1450615	OPA3	protein_coding
321	ILMN_1652825	4490053	IL10RA	protein_coding
322	ILMN_1652826	4480035	NA	NA
323	ILMN_1652837	1050703	ZNF131	protein_coding
324	ILMN_1652846	4070379	PCYT2	protein_coding
325	ILMN_1652852	7650605	GAS2	protein_coding
326	ILMN_1652854	1940131	CHCHD7	protein_coding
327	ILMN_1652866	4610148	LMX1B	protein_coding
328	ILMN_1652871	4220400	PLSCR5	protein_coding
329	ILMN_1652872	5340288	NA	NA
330	ILMN_1652888	3800441	HGH1	protein_coding
331	ILMN_1652906	4490687	GBGT1	protein_coding
332	ILMN_1652913	60639	EZH2	protein_coding
333	ILMN_1652918	2260148	NA	NA
334	ILMN_1652927	6760292	NA	NA
335	ILMN_1652929	1780445	POGZ	protein_coding
336	ILMN_1652931	6270433	CLDN25	protein_coding
337	ILMN_1652938	730630	PRRG3	protein_coding
338	ILMN_1652940	2470681	NA	NA
339	ILMN_1652946	7100452	VSTM5	protein_coding
340	ILMN_1652952	5690309	RASAL2	protein_coding
341	ILMN_1652955	4050377	NA	processed_pseudogene
342	ILMN_1652963	20630	NA	NA
343	ILMN_1652967	3310768	NA	unprocessed_pseudogene
344	ILMN_1652975	3370561	DLK1	protein_coding
345	ILMN_1652989	5050670	NUP160	protein_coding
346	ILMN_1652990	3520593	NA	lincRNA
347	ILMN_1652991	4730528	NBPF20	protein_coding
348	ILMN_1652992	4120639	PRDM2	protein_coding
349	ILMN_1652998	7610349	HIST1H2BL	protein_coding
350	ILMN_1653001	4050411	NA	NA
